x,y,DERMOT,Bedrocks,Code
10,10,1. GABBRO,GABBRO,1
55,55,2. GRANITE,GRANITE,2
87,87,3. BASALT,BASALT,3
127.6666667,127.6666667,4. ANDESITE,ANDESITE,4
166.1666667,166.1666667,5. ACID VOLCANICS,ACID VOLCANICS,5
204.6666667,204.6666667,6. PSAMMITE & Semi-Pelite,PSAMMITE & Semi-Pelite,6
243.1666667,243.1666667,7. CONGLOMERATE,CONGLOMERATE,7
281.6666667,281.6666667,8. SANDSTONE,SANDSTONE,8
320.1666667,320.1666667,9. LITHIC ARENITE,LITHIC ARENITE,9
358.6666667,358.6666667,9A. MUDSTONE,MUDSTONE,10
397.1666667,397.1666667,9B. LIMESTONE,LIMESTONE,11
