Tile,class,x,y
D1053,1,310500,453500
D1153,1,311500,453500
D1253,1,312500,453500
D0952,2,309500,452500
D1052,2,310500,452500
D1152,2,311500,452500
D1252,2,312500,452500
D1352,2,313500,452500
D1452,2,314500,452500
D1552,1,315500,452500
D1652,1,316500,452500
D0851,1,308500,451500
D0951,1,309500,451500
D1051,2,310500,451500
D1151,2,311500,451500
D1251,2,312500,451500
D1351,2,313500,451500
D1451,2,314500,451500
D1551,2,315500,451500
D1651,1,316500,451500
D0850,1,308500,450500
D0950,2,309500,450500
D1050,2,310500,450500
D1150,2,311500,450500
D1250,2,312500,450500
D1350,2,313500,450500
D1450,2,314500,450500
D1550,2,315500,450500
D1650,1,316500,450500
D1449,1,314500,449500
D1549,1,315500,449500
D1649,1,316500,449500
D1448,2,314500,448500
D1548,1,315500,448500
D1648,1,316500,448500
D1447,2,314500,447500
D1547,1,315500,447500
C9646,1,296500,446500
C9746,1,297500,446500
D0446,1,304500,446500
D0546,1,305500,446500
C9445,1,294500,445500
C9545,1,295500,445500
C9645,1,296500,445500
C9745,1,297500,445500
C9845,1,298500,445500
D0245,2,302500,445500
D0345,2,303500,445500
D0445,2,304500,445500
D0545,2,305500,445500
D0645,1,306500,445500
C9344,1,293500,444500
C9444,1,294500,444500
C9544,1,295500,444500
C9644,1,296500,444500
C9744,1,297500,444500
C9844,1,298500,444500
C9944,2,299500,444500
D0044,2,300500,444500
D0144,2,301500,444500
D0244,2,302500,444500
D0344,2,303500,444500
D0444,2,304500,444500
D0544,2,305500,444500
D0644,2,306500,444500
D0744,2,307500,444500
D0844,2,308500,444500
D0944,2,309500,444500
D1744,1,317500,444500
D1844,1,318500,444500
C8743,1,287500,443500
C9343,1,293500,443500
C9443,1,294500,443500
C9543,1,295500,443500
C9643,1,296500,443500
C9743,1,297500,443500
C9843,1,298500,443500
C9943,2,299500,443500
D0043,2,300500,443500
D0143,2,301500,443500
D0243,2,302500,443500
D0343,2,303500,443500
D0443,2,304500,443500
D0543,2,305500,443500
D0643,2,306500,443500
D0743,2,307500,443500
D0843,2,308500,443500
D0943,2,309500,443500
D1043,1,310500,443500
D1643,6,316500,443500
D1743,6,317500,443500
D1843,6,318500,443500
D1943,6,319500,443500
C8642,1,286500,442500
C8742,2,287500,442500
C9042,1,290500,442500
C9142,1,291500,442500
C9242,1,292500,442500
C9342,2,293500,442500
C9442,1,294500,442500
C9542,1,295500,442500
C9642,1,296500,442500
C9742,1,297500,442500
C9842,1,298500,442500
C9942,1,299500,442500
D0042,2,300500,442500
D0142,2,301500,442500
D0242,2,302500,442500
D0342,2,303500,442500
D0442,2,304500,442500
D0542,2,305500,442500
D0642,2,306500,442500
D0742,2,307500,442500
D0842,2,308500,442500
D0942,2,309500,442500
D1042,1,310500,442500
D1142,2,311500,442500
D1342,1,313500,442500
D1442,2,314500,442500
D1542,2,315500,442500
D1642,6,316500,442500
D1742,2,317500,442500
D1842,6,318500,442500
D1942,6,319500,442500
D2042,1,320500,442500
D2142,1,321500,442500
C8441,1,284500,441500
C8541,2,285500,441500
C8641,2,286500,441500
C8741,1,287500,441500
C8841,2,288500,441500
C8941,2,289500,441500
C9041,2,290500,441500
C9141,1,291500,441500
C9241,1,292500,441500
C9341,1,293500,441500
C9441,1,294500,441500
C9541,1,295500,441500
C9641,1,296500,441500
C9741,1,297500,441500
C9841,1,298500,441500
C9941,1,299500,441500
