OBJECTID	PERCENT_
1	13.054
2	18.39
3	17.677
4	22.319
5	32.923
6	44.974
7	26.647
8	12.455
9	10.651
10	5.043
11	4.787
12	10.93
13	11.191
14	17.408
15	28.669
16	0
17	0.268
18	12.851
19	12.27
20	0
21	0.016
22	1.634
23	0
24	0.316
25	3.252
26	0
27	0.654
28	0
29	0
30	28.926
31	5.262
32	18.194
33	0
34	0.013
35	0.242
36	0.98
37	8.722
38	0
39	1.122
40	0
41	0.3
42	4.168
43	1.557
44	0.773
45	0
46	7.604
47	0.117
48	0
49	0
50	23.614
51	4.034
52	0.79
53	0.667
54	0
55	0
56	0.16
57	0
58	0.024
59	0.06
60	0.006
61	0
62	0
63	0.666
64	0
65	0.034
66	0
67	0.004
68	19.962
69	11.48
70	0.118
71	0.01
72	0.001
73	0.96
74	0.01
75	11.842
76	14.448
77	10.5
78	4.974
79	11.588
80	3.263
81	27.719
82	41.81
83	19.34
84	0
85	13.973
86	0
87	27.811
88	23.237
89	26.455
90	4.875
91	15.159
92	20.755
93	10.097
94	16.131
95	13.293
96	4.992
97	0.724
98	1.617
99	0.111
100	0
101	0.384
102	0.054
103	1.023
104	0.99
105	1.374
106	1.875
107	0
108	9.343
109	5.341
110	0
111	1.929
112	2.1
113	0
114	0
115	0
116	0
117	0
118	0
119	0.012
120	0.02
121	0
122	0
123	0
124	0
125	0
126	0.323
127	0
128	0.11
129	0
130	0
131	4.899
132	0.413
133	0.54
134	0.13
135	0
136	0.56
137	10.244
138	0.27
139	0
140	0.28
141	0
142	0
143	0.017
144	0
145	0.3
146	0.002
147	0.005
148	0.659
149	0.13
150	4.194
151	0.27
152	15.254
153	0
154	0
155	0
156	0.592
157	0
158	1.034
159	6.169
160	3.542
161	13.733
162	5.994
163	0.597
164	0
165	0.187
166	0
167	1.569
168	0.407
169	13.971
170	0.009
171	0
172	0
173	4.148
174	2.174
175	0.032
176	1.962
177	16.652
178	2.653
179	0.052
180	0.071
181	4.55
182	7.269
183	11.93
184	1.765
185	8.314
186	7.069
187	10.379
188	14.921
189	1.628
190	0.009
191	0
192	1.962
193	12.844
194	6.251
195	4.028
196	4.059
197	4.875
198	24.738
199	32.592
200	9.67
201	15.444
202	5.793
203	16.131
204	1.205
205	12.826
206	20.273
207	7.922
208	13.98
209	20.83
210	8.79
211	8.07
212	9.399
213	0.345
214	10.427
215	29.517
216	14.442
217	5.567
218	2.079
219	0.184
220	9.813
221	5.886
222	3.926
223	12.626
224	11.474
225	0
226	0.1
227	0
228	0
229	0.34
230	0.541
231	0.86
232	0.857
233	0
234	0
235	0
236	0
237	0.554
238	1.123
239	1.888
240	0.695
241	0.141
242	0.8
243	0
244	0
245	11.23
246	0
247	0.77
248	0
249	0.057
250	1.41
251	0
252	0
253	1.56
254	4.6
255	5.744
256	0
257	0.007
258	2.53
259	0
260	1.99
261	7.02
262	0.057
263	0
264	11.613
265	0
266	3.69
267	4.807
268	17.615
269	2.089
270	0
271	0
272	0.73
273	7.48
274	6.803
275	5.72
276	9.349
277	7.85
278	4.693
279	0
280	0.196
281	0.638
282	7.51
283	14.74
284	4.698
285	14.332
286	0
287	2.84
288	1.31
289	9.72
290	0
291	0
292	0.554
