fid,Tile,Class_max,Version,xcoord,ycoord,COUNTY_ID,CountyName,Area_SqKM,OBJECTID,,CountyName,Class_max,,
1,C3610,4,Radon_Atlas_NI_V1,236500,410500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,14720
2,C3710,4,Radon_Atlas_NI_V1,237500,410500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
3,C3810,4,Radon_Atlas_NI_V1,238500,410500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
4,C3910,4,Radon_Atlas_NI_V1,239500,410500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
5,C3509,4,Radon_Atlas_NI_V1,235500,409500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
6,C3609,5,Radon_Atlas_NI_V1,236500,409500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
7,C3709,5,Radon_Atlas_NI_V1,237500,409500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
8,C3809,5,Radon_Atlas_NI_V1,238500,409500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
9,C3909,3,Radon_Atlas_NI_V1,239500,409500,6,TYRONE,3265.796622,1,,TYRONE,3.00,,
10,C3508,5,Radon_Atlas_NI_V1,235500,408500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
11,C3608,5,Radon_Atlas_NI_V1,236500,408500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
12,C3708,5,Radon_Atlas_NI_V1,237500,408500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
13,C3808,5,Radon_Atlas_NI_V1,238500,408500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
14,C3908,5,Radon_Atlas_NI_V1,239500,408500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
15,C4408,5,Radon_Atlas_NI_V1,244500,408500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
16,C3607,5,Radon_Atlas_NI_V1,236500,407500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
17,C3707,5,Radon_Atlas_NI_V1,237500,407500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
18,C3807,5,Radon_Atlas_NI_V1,238500,407500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
